,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,category,,,,,
122,Wpt0sFHcPtV5MO9He7yMKQ,"""McDonald's""",Eastside,"""3020 E Desert Inn Rd""",Las Vegas,NV,89121,36.1300128,-115.10931,2,20,1,Fast Food,,,,,
133,W1Yr6c2XDx_RBjb6WsV-aQ,"""Divine Cafe at the Springs Preserve""",Westside,"""333 S Valley View Blvd""",Las Vegas,NV,89152,36.1707065,-115.1902885,4,140,1,American,,,,,
177,Uy3_5nLo3sYkAuSX6mjdmg,"""Geebee's Bar & Grill""",Southeast,"""8560 Las Vegas Blvd S""",Las Vegas,NV,89123,36.0342435,-115.1714093,4.5,33,0,American,,,,,
366,u29lf2yPd-qK5ThAS9FRQQ,"""Kinthai""",Westside,"""4105 W Sahara Ave""",Las Vegas,NV,89102,36.1440231,-115.195896,4.5,61,0,other,,,,,
433,wRmPV-RvcqcjeyUeOaJQCg,"""The Bass Cafe Grill & Terrace""",Eastside,"""900 Karen Ave""",Las Vegas,NV,89109,36.1409252,-115.1428874,2.5,3,1,American,,,,,
497,EgGdnaotJpPvxCFyZPJeUw,"""Pizza Hut""",Northwest,"""4945 W. Craig Road""",Las Vegas,NV,89130,36.238059,-115.210341,2,13,1,other,,,,,
538,AfL8Ds7ex73tfVbq3EFWKg,"""Baja Fresh""",Westside,"""8780 W Charleston Blvd, Ste 100""",Las Vegas,NV,89117,36.1594825,-115.2874508,5,6,1,Mexican,,,,,
621,WMj5Uj04pAqFxLMnJQcQqw,"""Panda Express""",The Strip,"""3355 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1220839,-115.1680316,2.5,61,1,Fast Food,,,,,
642,SlelFNxQz5PJbl6kkjI0OA,"""Makino""",Southeast,"""9570 S Eastern Ave""",Las Vegas,NV,89136,36.0151363,-115.1184733,3,7,0,Japanese,,,,,
691,_ewxwEwJM-IYfIYnKpQOZw,"""Mexicali Raspados""",Eastside,"""4865 S Pecos Rd""",Las Vegas,NV,89121,36.1006883,-115.1010833,4.5,47,1,other,,,,,
737,yIZROHhe6hfmmzLCtTIEJQ,"""Tootie's Place""",Southeast,"""6601 Las Vegas Blvd S""",Las Vegas,NV,89119,36.0680033,-115.1764458,2,3,1,Fast Food,,,,,
834,7kO8bObVGFa-T3mj6PVYsg,"""Quiznos""",Eastside,"""730 E Flamingo Rd""",Las Vegas,NV,89119,36.114988,-115.147904,5,4,0,other,,,,,
868,kiU9C58n7dgygdrpjOQXMQ,"""Los Jarochos Restaurant""",Spring Valley,"""4811 S Rainbow Blvd""",Las Vegas,NV,89147,36.101319,-115.244375,4,62,0,Mexican,,,,,
916,ijg7qQCYnhUWBd5JUxbfvA,"""Roxy's Diner""",The Strip,"""2000 Las Vegas Blvd S""",Las Vegas,NV,89104,36.14770952,-115.1552059,3,357,1,other,,,,,
918,crGdKSRKi25R2vorZ7skzg,"""Tortilleria San Diego""",Downtown,"""235 N Eastern Ave""",Las Vegas,NV,89101,36.1656584,-115.1165785,4.5,3,1,Mexican,,,,,
1124,wwEg_6bHfTrOpn_bygIQZg,"""Little Ceasars""",,"""4388 E Craig Rd, Ste 135""",Las Vegas,NV,89115,36.24121646,-115.0779132,2,20,1,other,,,,,
1160,oIoq6WQbyRpPZClMkHQNlQ,"""Delicia's Latina's""",Downtown,"""""",Las Vegas,NV,,36.16000372,-115.118578,3,4,1,Mexican,,,,,
1219,9CNObWIk7w8poCo5IAtgmw,"""Raising Cane's""",,"""3535 W Tropicana Ave""",Las Vegas,NV,89103,36.10051263,-115.1868803,4,55,1,other,,,,,
1239,7KkgMcbVaetryW1wwpzvvA,"""Cafe Rio""",Northwest,"""5765 Centennial Center Blvd""",Las Vegas,NV,89149,36.26483,-115.257743,3.5,153,1,Mexican,,,,,
1519,YYRP-b61hjDljhWBfmUlDg,"""KFC""",,"""4924 Boulder Hwy""",Las Vegas,NV,89121,36.1139,-115.066,2,19,1,Fast Food,,,,,
1560,BG8lvZoPTrPJqcvTh-ytzg,"""The Range Steakhouse""",The Strip,"""Harrahs Las Vegas, 3475 S Las Vegas Blvd""",Las Vegas,NV,89152,36.1183787,-115.1726202,4,105,0,other,,,,,
1677,J121PGT4oi5AqVbtMoEfVw,"""La Parrilla""",Eastside,"""4161 S Eastern Ave""",Las Vegas,NV,89119,36.1130431,-115.1194493,3.5,6,1,Mexican,,,,,
1808,2GfKCR3S8I2m0iiyEd3sKA,"""Blue Agave""",,"""4321 W Flamingo Rd""",Las Vegas,NV,89103,36.114539,-115.195684,1.5,5,0,Mexican,,,,,
1821,zAhv5Pg3vUB_kzdCj0KtDg,"""The Chicken Shack""",Spring Valley,"""4950 S. Rainbow Blvd, Ste 130""",Las Vegas,NV,89118,36.09859661,-115.2425259,3.5,33,1,Fast Food,,,,,
1857,kMGfuOZeBDNQJ4_pBjE26Q,"""Taqueria Del Paisano""",,"""3603 N Las Vegas Blvd""",Las Vegas,NV,89115,36.22666672,-115.0813409,4.5,6,1,Mexican,,,,,
1962,tZW4NLpEYinu4mIxdKj0Pw,"""The Rose Grill""",Downtown,"""3328 E Charleston Blvd""",Las Vegas,NV,89104,36.1585755,-115.0996395,3.5,3,1,other,,,,,
2063,LV-oONzEA22qiBEFK1sckA,"""American Fish""",The Strip,"""Aria Resort and Casino, 3746 Las Vegas Blvd S""",Las Vegas,NV,89109,36.10678861,-115.1732075,3.5,288,0,American,,,,,
2238,dP1_wP59hvVDWNzFFS_6YQ,"""Subway""",The Strip,"""3999 Las Vegas Blvd S""",Las Vegas,NV,89119,36.09038981,-115.1723104,2,15,1,other,,,,,
2321,gKFDJ9IpFxt95DHxTN7ZHw,"""Gyro Time Restaurant""",Northwest,"""7660 W Cheyenne Ave""",Las Vegas,NV,89129,36.2191781,-115.2624712,3.5,75,1,Mediterranean,,,,,
2403,GjbF1ZEbIpC2KqUbZ7KQWQ,"""Dynamite Grill""",Southwest,"""10450 S Decatur Blvd, Ste 105""",Las Vegas,NV,89141,35.9999263,-115.2074951,3,93,0,American,,,,,
2625,wjf1uZNr6E4LQ0nUNHX5AA,"""Rivas Mexican Grill #2""",Eastside,"""3025 E Desert Inn Rd, Ste1""",Las Vegas,NV,89121,36.128693,-115.1091,3.5,66,1,Mexican,,,,,
